Task,Difficulty,Problem Statement,Patterns,Hints,Last Revised Date,Notes
TilingDominoes,Medium,Count ways to tile a board with dominoes.,"Dynamic Programming, Tiling",DP State: dp[i] is the number of ways to tile a 2×i board. Recurrence: dp[i]=dp[i−1]+dp[i−2] (equivalent to Fibonacci sequence).,13-Nov-2025,
TilingDominoes2,Impossible,Count ways to tile 2xN board with dominoes.,"Dynamic Programming, Matrix Exponentiation, Tiling","This is a variation of the Tiling problem, often requiring Matrix Exponentiation to solve for large N in O(logN) time. The recurrence matrix is difficult to derive.",,Unintuitive appraoch
DominoAndTrominoTiling,Impossible,Count ways to tile board with dominoes and trominos.,"Dynamic Programming, Tiling, State Machine","This is a more complex Tiling problem with 2×N board and two types of tiles. DP State: dp[i] is the number of ways to tile the full 2×i board. dp_partial[i] is the number of ways to tile a 2×i board with one corner missing. The recurrence involves dp[i] depending on dp[i−1], dp[i−2], and dp_partial[i−1].",13-Nov-2025,
FrogJump,Medium,"Check if frog can cross river if it can take (k-1), k or (k+1) jump from prev","Dynamic Programming, Hash Map, State Tracking","DP State: dp[i] is a Set of all possible jump sizes that can reach the i-th stone. Recurrence: For a jump size k that reaches stone i, the next jump size from i can be k−1,k, or k+1. Use a HashMap to quickly find the index of the next stone based on its position.",,
MinCutPalindrome,Very Hard,Find minimum cuts to partition string into palindromes.,"Dynamic Programming, Palindrome Check",Two-stage DP: 1) Pre-calculate a boolean DP array ‘is_palindrome‘[i][j] for all substrings. 2) DP State: dp[i] is the minimum cuts needed for the prefix s[0…i−1]. Recurrence: dp[i]=minj<i​(dp[j]+1) if s[j…i−1] is a palindrome.,29-Sep-2025,Difficult optimized approach. Didn't clicked the appraoch
MinimumFlipsForNonNegativeSum,Very Hard,Find minimum flips for non-negative prefix sum.,"Dynamic Programming, Target Sum","This is a variation of the Target Sum problem. DP State: dp[i][s] is the minimum number of flips needed to achieve a sum s using the first i numbers. Recurrence: dp[i][s]=min(dp[i−1][s−val],dp[i−1][s+val]+1) (where +1 is for the flip).",22-Sep-2025,
SpecialOperationsString,Impossible,"Perform operations on string. On character *, remove last char; # duplicates curr str; % reverse curr str. Find kth char after completing encoding","Binary Search on Answer, Prefix Sum",First pass (Left to Right): Calculate only the length of the final string without building it. Second pass (Right to Left): Trace back the operations to find the k-th character using reverse simulation.,,
SmallestPrimeSequence,Very Hard,Find smallest prime sequence.,"Three Pointers, Min-Heap, Merge K Sorted Lists","This is similar to a K-way merge. The numbers are generated by primei​×ugly_number. Use Three Pointers (p1,p2,p3) to track the next multiple to consider for each of the three primes (3,5,7). The next ugly number is min(ugly[p1]×3,ugly[p2]×5,ugly[p3]×7).",,Not intuitive
PalindromePartitioning,Very Hard,Partition string into palindromic substrings.,"Dynamic Programming, Memoization, Backtracking","Backtracking/DFS: At each step, iterate through all possible split points j such that the prefix s[0…j] is a palindrome. Recurse on the remaining suffix s[j+1…end]. Memoization can be used to store the list of all valid partitions for a suffix starting at index i.",,Difficult to come up with approach especially how to aggregate the solution of child problems
EvaluateTrue,Very Hard,Count ways to evaluate expression to true.,"Dynamic Programming, Matrix Chain Multiplication, Memoization",DP State: dp[i][j][T/F] is the number of ways the sub-expression s[i…j] can evaluate to True or False. The Recurrence involves iterating through the main operator k (similar to Matrix Chain Multiplication) and combining the results of the left and right sub-expressions based on the operator.,,Difficult to come up with approach especially how to aggregate the solution of child problems
MinCostCutStick,Very Hard,Find minimum cost to cut a stick.,"Dynamic Programming, Range DP, Sorting",DP State: dp[i][j] is the minimum cost to cut the stick defined by the cuts cuts[i] and cuts[j]. Sort the cuts array and add 0 and L as endpoints. Recurrence: dp[i][j]=(cuts[j]−cuts[i])+mini<k<j​(dp[i][k]+dp[k][j]).,,Difficult to come up with approach especially how to aggregate the solution of child problems
ScrambleString,Very Hard,Check if one string is a scrambled version of another.,"Dynamic Programming, Recursion/Memoization",DP State: dp[i][j][k] is true if s1[i…i+k−1] is a scramble of s2[j…j+k−1]. Recurrence: Iterate through all possible split points l: check if s1 and s2 are scrambles in the normal partition (s1[i…i+l−1]↔s2[j…j+l−1]) or the swapped partition (s1[i…i+l−1]↔s2[j+k−l…j+k−1]).,,"Needs complete DP playlist knowledge, after that easy"
DeleteAndEarn,Hard,Maximize points by deleting numbers and earning points.,"Dynamic Programming, House Robber","This problem reduces to the House Robber problem. 1) Create a new array/map where the index is the number, and the value is the total points for that number. 2) The constraint is that you cannot pick adjacent numbers. DP State: dp[i]=max(dp[i−1],dp[i−2]+points[i]).",,
ShortestCommonSuperstring,Impossible,Find shortest string that contains all given strings as subsequences while preserving their order.,"Dynamic Programming, Graph, TSP (Traveling Salesperson Problem)","This is an NP−Hard problem that reduces to a modified Traveling Salesperson Problem (TSP). 1) Calculate the maximum overlap between all pairs of words. 2) Use DP with a bitmask (like TSP) to find the shortest path that visits all words, where the cost between nodes u and v is len(v)−overlap(u,v).",,Was able to come up with the approach
StoneGame,Hard,Determine winner of stone game.,"Dynamic Programming, Game Theory (MiniMax)","DP State: dp[i][j] is the maximum difference in score the current player can achieve over the opponent from the stones stones[i…j]. Recurrence: dp[i][j]=max(stones[i]−dp[i+1][j],stones[j]−dp[i][j−1]). The key insight is that stones[i]−dp[i+1][j] is the score you get minus the maximum score the opponent can get from the remaining stones.",,"Easy recursive approach, hard iterative"
LongestSubsequencePair,Hard,Find longest common subsequence between two strings.,"Greedy, Sorting, Longest Increasing Subsequence (LIS)","Greedy Approach: Sort the pairs by the end value (second element). This reduces the problem to finding the Longest Increasing Subsequence (LIS) on the start values (first element) of the pairs, where the ""increasing"" condition is prev_end<current_start.",,Easy to understand greedy appraoch after knowing that its greedy
DungeonGame,Hard,Find minimum initial health to reach princess in dungeon.,"Dynamic Programming, Reverse Traversal","DP State: dp[i][j] is the minimum initial health required to survive the path from (i,j) to the target. Reverse Traversal: Iterate from target (M-1,N-1) to start (0,0). Recurrence: dp[i][j]=max(1,min(dp[i+1][j],dp[i][j+1])−dungeon[i][j]).",,Could come up with the iterative approach. Might face bit difficulty in implementation
PaintHouse2,Hard,Minimize cost to paint houses with k colors.,"Dynamic Programming, Min Cost Tracking","DP State: dp[i][j] is the minimum cost to paint house i with color j. Recurrence: dp[i][j]=cost[i][j]+mink=j​(dp[i−1][k]). Optimization: At each step, track the two minimum costs from the previous row: ‘min1‘ and ‘min2‘. If j equals the index of ‘min1‘, use ‘min2‘ for the calculation.",,Optimized appraoch is not intuitive
PaintHouse3,Impossible,Minimize cost to paint houses forming m neighborhoods.,"Dynamic Programming, 3D Array, State Definition","DP State: dp[i][j][k] is the minimum cost to paint the first i houses, where the i-th house is painted with color j, and exactly k neighborhoods have been formed. The transitions involve checking if the i-th house being painted j forms a new neighborhood or extends the previous one.",,"Was able to come up withe the recursive appraoch, Didn't attempted iterative"
EqualAveragePartition,Very Hard,Partition array into two subsets with equal average.,"Dynamic Programming, Subset Sum",The problem simplifies to: find a subset of size K whose average is equal to the average of the whole array. Sum(subset)=Avg(array)×K. Use a Subset Sum DP where the state is dp[i][k]: is it possible to form a subset of size k with a target sum i?,,Remembered the formula but got bit confused with the 2pointers appraoch vs recursion
SubsetSum,Medium,Check if there exists a subset with given sum.,"Dynamic Programming, 0/1 Knapsack (Decision)","(Same as previous SubsetSum entry). dp[i][s]=dp[i−1][s]∨dp[i−1][s−item]. Remember for space optimization (1D DP), iterate the sum from high to low to ensure dp[s−item] is from the previous row.",,Easy with the recursive approach but some difficulty in making the condition to fill current value in iterative approach
TargetSum,Easy,Count ways to assign + or - to reach target sum.,"Dynamic Programming, Subset Sum Counting",This is a variation of Count Subsets with Given Difference. The problem reduces to finding the number of subsets S1 that sum to S1=(total_sum+target)/2.,,Easy after doing Subset Sum problem
EggDropProblem,Very Hard,Find minimum trials needed to find critical floor.,"Dynamic Programming, MiniMax, Matrix Chain Multiplication","DP State: dp[e][f] is the minimum number of trials required to find the critical floor with e eggs and f floors. Recurrence: dp[e][f]=1+mink=1f​(max(dp[e−1][k−1],dp[e][f−k])). This is a Matrix Chain Multiplication style recurrence.",,Difficult to make the logic (MCM)
MaxProductSubarray,Hard,Find maximum product of a contiguous subarray.,"Dynamic Programming, Array Iteration, Negative Numbers","DP State: At each index i, track two things: ‘max_product_ending_here‘ and ‘min_product_ending_here‘ (needed because two negatives make a positive). Recurrence: new_max=max(nums[i],nums[i]×prev_max,nums[i]×prev_min).",,
LongestIncreasingSubsequence,Impossible,Find length of longest increasing subsequence.,"Dynamic Programming, Patience Sorting, Binary Search","DP (Optimization): Use an array ‘tails‘ where ‘tails‘[i] is the smallest ending element of all increasing subsequences of length i+1. The ‘tails‘ array is always sorted. For a new element nums[i], use Binary Search to find the first tail ≥nums[i] and replace it. Time is O(NlogN).",,Didin't came up with the DP approach and also the optimized approach is literally impossible
MaxWithCost,Impossible,Maximize value when you start from the top row of matrix and need to reach bottom of matrix. While moving from one row to other you spend the column difference b/w them and gain the value of element,"Dynamic Programming, Optimization","Use DP to track maximum points at each position. The key optimization is to precompute left-to-right and right-to-left maximum values for each row, where moving one column costs 1 point. For each cell, take max(leftMax[col], rightMax[col]) + currentPoints, avoiding O(n²) comparisons per row and achieving O(m×n) time complexity.",,Couldn't get the more O(n^2) approach
QueenAttack,Hard,Count squares a queen can attack.,"Array Manipulation, Directional Check","For each queen, check the eight possible directions (row, column, 4 diagonals) until another piece (queen or king) is found or the board edge is reached.",,
QueensAttackKing,Medium,Find queens that can attack the king.,"Array Manipulation, Directional Check","For each of the eight directions from the King's position, iterate outwards until either a Queen is found or the board edge is reached. A queen only attacks if it is the first piece encountered in that direction.",,
CoinChange2,Hard,Count ways to make amount using given coins.,"Dynamic Programming, Unbounded Knapsack (Combinations)","DP State: dp[i] is the number of combinations to make an amount i. Recurrence: Iterate over the coins, then over the amounts. dp[j]+=dp[j−coin]. The order (coins loop outside, amounts loop inside) prevents permutations.",,
BirthdayParty,Medium,Solve birthday party optimization problem.,"Combinatorics, Probability",This relates to the Birthday Paradox. The probability is calculated as 1−prob(all have different birthdays). prob(different)=365365​×365364​×⋯×365365−N+1​.,,
RodCutting,Medium,Maximize profit from cutting rod.,"Dynamic Programming, Unbounded Knapsack",DP State: dp[i] is the maximum profit from cutting a rod of length i. Recurrence: dp[i]=maxj=1i​(price[j]+dp[i−j]).,,
CallCounter,Easy,Design a call counter.,"Queue/Deque, Time Window","Use a Queue (or a Deque) to store the timestamps of the calls. When a new call arrives, first dequeue all timestamps that are older than ‘t‘ seconds ago. The size of the remaining queue is the number of recent calls.",,
LongestValidParentheses,Hard,Find length of longest valid parentheses substring.,"Dynamic Programming, Stack","DP State: dp[i] is the length of the longest valid parenthesis substring ending at index i. Recurrence: If s[i]=’)’ and s[i−1]=’(’, then dp[i]=dp[i−2]+2. If s[i]=’)’ and s[i−1]=’)’ and the matching open parenthesis is at i−dp[i−1]−1, then dp[i]=dp[i−1]+dp[i−dp[i−1]−2]+2.",,
DecodeWays,Hard,Count ways to decode a digit string.,"Dynamic Programming, String Parsing","DP State: dp[i] is the number of ways to decode the prefix s[0…i−1]. Recurrence: dp[i] depends on: 1) the single digit s[i−1] (if it's not '0'), and 2) the two digits s[i−2…i−1] (if it forms a number between 10 and 26).",,
ValidParenthesis,Easy,Check if parentheses are valid.,"Stack, String Validation",(Same as ParenthesisChecker). Use a Stack to match open and closed parentheses.,,
QueueStack,Medium,Implement queue using stack.,"Stack/Queue, Data Structure Conversion","Implement a Stack using two Queues (or a Queue using two Stacks). The core idea is to move N−1 elements from one structure to the other before an operation (e.g., pop/dequeue) to reverse the order.",,
RemoveNodes,Medium,Remove nodes from linked list based on condition.,"Linked List, Stack, Reverse Traversal","Optimization: Use a Stack to process the list. Iterate through the list, and for each node, pop all nodes from the stack that have a smaller value than the current node. The remaining nodes in the stack (in reverse order) form the resulting list.",,
RemoveNthLast,Easy,Remove nth node from end of linked list.,"Linked List, Two Pointers (Dummy/Spacing)","Use a Dummy Node. Use Two Pointers (‘fast‘ and ‘slow‘) separated by N nodes. Move ‘fast‘ N steps ahead, then move both pointers together until ‘fast‘ reaches the end. ‘slow‘ will be pointing to the node before the one to be removed.",,
MergeSortedLinkedList,Easy,Merge two sorted linked lists.,"Linked List, Two Pointers, Sentinel Node",Use a Dummy Head (Sentinel Node) to simplify the code. Use Two Pointers (one for each list) and greedily attach the smaller value node to the merged list's tail.,,
CallCounter,Easy,Design a call counter.,"Queue/Deque, Time Window",(Same as previous CallCounter entry). Use a Queue to store timestamps and remove those outside the 3000ms window.,,
CyclicLinkedList,Easy,Detect cycle in a linked list.,"Linked List, Two Pointers (Slow/Fast)","Floyd's Cycle-Finding Algorithm (Tortoise and Hare): Use Two Pointers (‘slow‘ moves by 1, ‘fast‘ moves by 2). If the list is cyclic, they will eventually meet.",,
ValidAnagram,Easy,Check if two strings are anagrams.,"Hash Map, Frequency Check","Use a Frequency Map (or array of size 26) to count the characters in the first string. Then, iterate through the second string, decrementing the count. Anagrams are valid if all counts are 0 at the end.",,
FirstUniqueChar,Easy,Find first unique character in a string.,"Hash Map, Two Passes","Use a Frequency Map (or array of size 26) in the first pass to count all character occurrences. In the second pass, iterate through the string and return the index of the first character whose count is 1.",,
VacuumCleaner,Easy,Simulate vacuum cleaner robot.,"Coordinate Tracking, State Simulation","Start at (row=0,col=0). Simulate the moves, updating the coordinates. The robot returns to the original position if the final coordinates are (row=0,col=0).",,
ValidPalindrome,Easy,Check if a string is a palindrome.,"Two Pointers, Sanitization",Sanitize the string by removing non-alphanumeric characters and converting to a single case. Use Two Pointers (‘left‘ and ‘right‘) to check for character equality.,,
ValidPalindrome2,Easy,Check if string can be palindrome after deleting at most one character.,"Two Pointers, One Deletion","Use Two Pointers (‘left‘ and ‘right‘). If s[L]=s[R], you have one chance to skip either s[L] or s[R] and check if the remaining substring is a palindrome.",,
LongestCommonPrefix,Medium,Find longest common prefix among strings.,"String Matching, Vertical Scan/Trie","Vertical Scan: Iterate through the characters of the first string. For each character, check if it matches the character at the same position in all other strings. Stop at the first mismatch.",,
AddBinary,Easy,Add two binary strings.,"String Manipulation, Digit-by-Digit Addition","Simulate binary addition from right to left, tracking a ‘carry‘ digit (which can be 0 or 1). The result digit is the summod2, and the new ‘carry‘ is the sum/2.",,
SidewaysTree,Hard,Print tree sideways.,"Tree Traversal (BFS/DFS), Rotation/Restructuring","The problem requires restructuring the tree to be ""sideways."" This involves manipulating the ‘left‘ and ‘right‘ pointers to create a new tree structure where the old left child becomes the new root's left sibling, and the old right child becomes the new root's right child.",,
KthPermutation,Impossible,Find the kth permutation sequence.,"Math, Factorial Number System","Use factorial-based indexing to directly compute the kth permutation without generating all previous ones. At each position, divide k by (n-1)! to determine which remaining number to pick, then update k using modulo and reduce the factorial. This avoids O(n!) backtracking by mathematically determining each digit in O(n) time, achieving O(n²) total complexity due to list removals.",,Didn't understand properly even after the walkthrough
Create Expression,Hard,Create expression evaluating to target.,"Backtracking, Expression Evaluation","(Same as previous CreateExpression entry). Use Backtracking/DFS to insert operators ($\text{'+', '-', '\*'})$ or append digits to the current number, with the recursion depth being the length of the digit string.",,Weird question and faced unintuitive approach
ClimbingStairs,Easy,Count ways to climb n stairs.,Dynamic Programming,The number of ways to reach step i is ways[i] = ways[i-1] + ways[i-2].,,
CountNumberOfWaysToPlaceHouses,Medium,Count ways to place houses on both sides of street.,Dynamic Programming,"The problem is like two independent ""House Robber"" problems, one for each side. Total ways = W × W, where W[i] = W[i-1] + W[i-2].",,
CourseScheduleIII,Hard,Maximize courses taken within deadlines.,"Greedy, Min-Heap (Priority Queue)","Sort courses by deadline. If the total duration exceeds the deadline, remove the course with the **maximum duration*using a Max-Heap.",,Approach not intuitive. Easy to solve after getting approach
DeleteOperationForTwoStrings,Hard,Find minimum deletions to make two strings equal.,Dynamic Programming (LCS),Minimum deletions = len(word1) + len(word2) - 2 × LCS_length. Use DP to compute LCS.,,
FibonacciNumber,Easy,Calculate nth Fibonacci number.,Dynamic Programming,Compute Fibonacci iteratively using two variables for O(1) space.,,
FurthestBuildingYouCanReach,Hard,Find furthest building reachable with bricks and ladders.,"Greedy, Min-Heap (Priority Queue)",Use bricks for smaller jumps and ladders for larger ones. Track jumps using a Min-Heap and replace the largest brick jump with a ladder when needed.,,
HouseRobber,Easy,Maximize money robbed without robbing adjacent houses.,Dynamic Programming (DP),"For each house i: dp[i] = max(nums[i] + dp[i-2], dp[i-1]). Choose between robbing or skipping.",,
IsSubsequence,Hard,Check if s is a subsequence of t.,Two Pointers / Greedy,"Use two pointers over strings s and t. Increment t only when characters match. Optionally, pre-compute indices and use binary search.",,binary search approach is hard
LongestIncreasingPathInAMatrix,Medium,Find length of longest increasing path in matrix.,"Dynamic Programming (DP), DFS with Memoization","Use DFS with memoization: LIP(r, c) = 1 + max(LIP(neighbor)) where neighbor value > current.",,
LongestStringChain,Hard,Find length of longest string chain.,"Dynamic Programming, Sorting","Sort words by length. For each word, remove one letter to form predecessors. dp[word] = 1 + max(dp[predecessor]).",,"Little confusing in terms of algorithm, we have to delete instead of adding"
MaximumPointsFromCards,Medium,Maximize points from picking k cards from either end.,"Sliding Window, Prefix/Suffix Sum",Maximize picked card sum = minimize sum of middle subarray (fixed-size).,,Didn't click the appraoch. Implementation is good
PalindromicSubstrings,Medium,Count palindromic substrings.,"String, Expand Around Center",Expand around each single and double center to count palindromic substrings.,,Similar to longest substring
PascalsTriangle,Easy,Generate Pascal's triangle.,Dynamic Programming / Combinatorics,Each element in Pascal’s triangle: row[j] = prev[j-1] + prev[j].,,
VideoStitching,Hard,Find minimum clips to cover entire sporting event.,"Greedy, Interval Scheduling",Sort clips by start; greedily extend the farthest reachable end.,,
AddToArrayFormOfInteger,Easy,Add integer to array form of integer.,"Math, Digit-by-Digit Addition",Simulate addition: add K digit-wise from the least significant end and propagate carry.,,
AllDivisionsWithTheHighestScoreOfABinaryArray,Medium,Find all divisions with highest score.,Prefix Sum,Score at split i = zeros_left + ones_right. Use prefix and suffix sums.,,
CanPlaceFlowers,Medium,Check if n flowers can be planted without adjacent placement.,Greedy,"For each empty plot, check both neighbors; if both empty, plant and reduce n.",,
CheckIfEveryRowAndColumnContainsAllNumbers,Easy,Verify if matrix contains all numbers 1 to n in each row and column.,Hash Set / Array Count,Validate each row and column contain all numbers 1..n exactly once.,,
CheckIfMatrixIsXMatrix,Easy,Check if matrix is an X-Matrix.,Array Traversal,Check that diagonal cells are non-zero and others zero.,,
CountElementsWithStrictlySmallerAndGreaterElements,Easy,Count elements with both strictly smaller and greater elements.,Min/Max,Count elements strictly between min and max.,,
CountIntegersWithEvenDigitSum,Easy,Count integers with even digit sum.,Math / Digit Sum,"For each number, sum its digits; count numbers with even digit-sum.",,
DuplicateZeros,Hard,"Duplicate each zero in array, shifting remaining elements.","Array Manipulation, Two Pointers (Right-to-Left)",Modify array from right to left to avoid overwriting during in-place operation.,,Difficuly in array manipulations
FairCandySwap,Easy,Find fair candy swap to equalize candy counts.,Hash Set / Math,"Compute D = (sumB - sumA)/2. For each x in A, check if x + D exists in B.",,
FindAllLonelyNumbersInTheArray,Easy,Find all lonely numbers (no adjacent values).,Hash Map / Frequency Count,Lonely number: count == 1 and no neighbor (x±1) exists.,,
FindOriginalArrayFromDoubledArray,Medium,Determine if array is a doubled array.,"Hash Map, Greedy, Sorting",Sort and greedily pair each number x with 2x. Use frequency counts.,,
HeightChecker,Easy,Count students not in correct position after sorting by height.,Sorting / Counting Sort,Mismatched height count = positions where height[i] != sorted[i]. Use counting sort.,,
MatrixBlockSum,Hard,Calculate block sum for each cell in matrix.,2D Prefix Sum,Use 2D prefix sums to query any submatrix in O(1).,,
MaxIncreaseToKeepCitySkyline,Hard,Maximize building height increase without changing skyline.,"Greedy, Min/Max","Max new height = min(max_in_row, max_in_col); total increase = sum of differences.",,
MaximizeDistanceToClosestPerson,Medium,Maximize distance to closest person when sitting.,Two Pointers / Prefix Sum / Greedy,"For each 0, find nearest 1 on both sides; answer = max of min distances.",,
MaximumUnitsOnATruck,Easy,Maximize units on truck with box capacity.,"Greedy, Sorting",Sort boxes by units/box desc; load greedily until capacity full.,,
MergeSortedArray,Easy,Merge two sorted arrays in-place.,"Two Pointers, In-place Merging (Reverse)",Merge sorted arrays from the end using two pointers.,,
MinimumCostOfBuyingCandiesWithDiscount,Easy,Find minimum cost to buy candies with discount.,"Greedy, Sorting","Sort costs descending; buy two expensive, skip third for discount.",,
MinimumDominoRotationsForEqualRow,Hard,Find minimum rotations to make domino row equal.,"Greedy, Array Count","Check rotations for A[0], B[0] values; compute min rotations for uniform rows.",,
MinimumMovesToEqualArrayElementsII,Hard,Find minimum moves to make all elements equal.,"Math, Median",Sum of absolute differences minimized at the median.,,Unknown approach of median
MinimumSwapsToGroupAll1sTogether,Medium,Find minimum swaps to group all 1s together.,Sliding Window,Use sliding window of size equal to count of ones; minimize zeros inside window.,,
NonDecreasingArray,Medium,Check if array can be non-decreasing with at most one modification.,"Greedy, Array Traversal","At first violation, modify one element. If a second violation appears, return false.",,
NumberOfLaserBeamsInABank,Easy,Count laser beams between security devices.,"Math, Iteration",Multiply count of ones between consecutive non-empty rows to get laser beams.,,
PartitionArrayIntoDisjointIntervals,Hard,Find partition index for disjoint intervals.,"Single Pass, Max/Min Tracking",Maintain max_left and min_right; split when max_left <= min_right.,,Single pass approach is not intuitive
PlusOne,Medium,Add one to number represented as array.,"Math, Digit-by-Digit Addition","Add one from right; handle carry; if all 9s, prepend 1.",,
RangeAddition,Medium,Apply range additions to array.,Difference Array / Prefix Sum (Reverse),Use difference array; apply updates; prefix sum gives final result.,,
RangeSumQuery2DImmutable,Easy,Calculate sum of rectangle in 2D matrix.,2D Prefix Sum (Summed-Area Table),Pre-compute 2D prefix sum; query rectangles using four corners.,,
RangeSumQueryMutable,Impossible,Support range sum queries with updates.,Segment Tree or Fenwick Tree (BIT),Use Segment/Fenwick Tree for efficient range-sum and point updates.,,New segment tree concept
TheSkylineProblem,Impossible,Find skyline formed by buildings.,"Sweep Line, Max-Heap",Sweep line: process building edges with Max-Heap of heights.,,
MyCalendarThree,Impossible,"Given some events [startTime, endTime), after each given event, return an integer k representing the maximum k-booking between all the previous events.","Sweep Line, Difference Array","Sweep line: record +1 at start, -1 at end; accumulate to find max concurrency.",,
RearrangeArrayElementsBySign,Medium,Rearrange array alternating positive and negative.,"Two Pointers, Array Construction",Alternate positives and negatives at even/odd indices using two pointers.,,
RemoveDuplicatesFromSortedArray,Medium,Remove duplicates from sorted array in-place.,"Two Pointers, Array Manipulation",Use two pointers to remove duplicates; write unique values in place.,,
RemoveElement,Medium,Remove all instances of value from array in-place.,"Two Pointers, Array Manipulation",Use two pointers to remove val; copy non-val elements forward.,,
RotateArray,Hard,Rotate array to the right by k steps.,"Array Manipulation, Reversal Trick","Rotate array by reversing: all, first k, then last n-k.",,Unknown trick
RotateImage,Hard,Rotate image (matrix) 90 degrees clockwise.,"In-place Matrix Manipulation, Transpose and Flip",Rotate matrix: transpose then reverse each row.,,Unknown trick
SearchInsertPosition,Medium,Find index where target should be inserted in sorted array.,Binary Search,Standard binary search; insertion index = low after search.,,
SignOfTheProductOfAnArray,Easy,Return sign of product of all array elements.,"Array Traversal, Math","Count negatives; even → 1, odd → -1; if any zero, result = 0.",,
SingleNumber,Medium,Find element appearing once while others appear twice.,Bit Manipulation (XOR),XOR all elements; result is unique number.,,
SingleNumberII,Very Hard,Find element appearing once while others appear thrice.,Bit Manipulation (Counting Bits Modulo 3),Use formula `singleNumber = (3 * sumOfUniqueElements - sumOfAllElements) / 2`,,
SortTheMatrixDiagonally,Very Hard,Sort matrix diagonally.,"Hash Map, Sorting",Group by diagonal index (r - c); sort within each group.,,
SortTransformedArray,Hard,Sort transformed array.,"Two Pointers, Parabola Property",Apply quadratic transform; use two pointers for sorted output.,,
TwoSumIIInputArrayIsSorted,Medium,Find two numbers that sum to target in sorted array.,Two Pointers,Two pointers: move based on sum < or > target.,,
ValidTriangleNumber,Very Hard,Count valid triangle triplets.,"Two Pointers, Sorting",Sort and fix largest side; use two pointers for triangle count check.,,
BinaryTreeCameras,Very Hard,Find minimum cameras to monitor all nodes.,"Greedy, DFS (Post-order)","DFS with post-order states: 0 (needs camera), 1 (has), 2 (covered). Place camera at parent of 0.",,
BinaryTreeLevelOrderTraversal,Easy,Traverse binary tree level by level.,"Breadth-First Search (BFS), Queue",BFS level traversal; process all nodes in queue per level.,,
BinaryTreePaths,Easy,Find all root-to-leaf paths.,DFS (Recursion),DFS from root to leaves; collect paths as strings.,,
BinaryTreeRightSideView,Easy,Return right side view of binary tree.,"BFS or DFS, Level Order",BFS right view: last node per level; DFS right-first variant works too.,,
ConvertSortedArrayToBinarySearchTree,Medium,Convert sorted array to height-balanced BST.,"Recursion, Divide and Conquer",Build BST recursively using middle element as root.,,Iterative approch bit difficult
KthSmallestElementInABst,Medium,Find kth smallest element in BST.,"Tree Traversal (In-order), Iterative or Recursive",In-order traversal to find k-th smallest in BST.,,
MaximumDepthOfBinaryTree,Medium,Find maximum depth of binary tree.,"Tree Traversal (DFS/BFS), Recursion","Depth = 1 + max(depth(left), depth(right)). Use DFS or BFS.",,
PathSum2,Medium,Find all root-to-leaf paths with given sum.,"Backtracking, DFS (Recursion)","DFS with backtracking; if leaf sum == target, record path.",,
ValidateBinarySearchTree,Medium,Validate if tree is a BST.,"Tree Traversal (DFS), In-order or Bounds",Validate BST: in-order strictly increasing or use bounds recursion.,,
AddStrings,Easy,Add two non-negative numbers represented as strings.,"Math, String Simulation","Add numeric strings from right, maintain carry, prepend to result.",,
CheckIfAllAsAppearsBeforeAllBs,Easy,Check if all 'a's appear before all 'b's.,"String Traversal, Single Pass",Invalid if an 'a' occurs after a 'b'.,,
CustomSortString,Medium,Sort string based on custom order.,"Hash Map, Sorting",Build order using counts; append remaining unmatched chars.,,
DecodeString,Medium,Decode encoded string with nested brackets.,Stack,"Use stack for decoding: push at [, pop and multiply at ].",,
DivideAStringIntoGroupsOfSizeK,Easy,Divide string into groups of size k.,"String Traversal, Padding","Split string into groups of size k, pad last with fill char.",,
GroupAnagrams,Hard,Group anagrams together.,"Hash Map, Hashing/Key Generation",Group anagrams by sorted string or char frequency hash.,,
IsomorphicStrings,Hard,Check if two strings are isomorphic.,"Hash Map, Bi-directional Mapping",Use two hash maps for s→t and t→s mappings; ensure consistency.,,Array based appraoch is not intuitive and difficult to come up with
LengthOfLastWord,Easy,Find length of last word in string.,"String Traversal, Reverse Iteration",Traverse backward; skip trailing spaces; count until next space.,,
LicenseKeyFormatting,Easy,Format license key into groups.,"String Manipulation, Iteration","Remove dashes, uppercase, reverse and insert dashes every K chars.",,
LongPressedName,Easy,Check if typed name matches with long pressed keys.,Two Pointers,Two pointers; allow multiple typed chars per name char; no extras allowed.,,
LongestSubstringWithAtMostKDistinctCharacters,Easy,Find longest substring with at most k distinct characters.,"Sliding Window, Hash Map",Sliding window with hashmap; shrink when distinct > K.,,
MinimumTimeDifference,Medium,Find minimum time difference between any two time points.,"Math, Sorting, Circularity",Convert times to minutes; sort; take min diff (including circular diff).,,Didn't clicked the logic of placing complete time duration on array
MinimumTimeToMakeRopeColorful,Hard,Find minimum time to make rope colorful.,"Greedy, Stack/Iteration","In each block of same color, remove all but one balloon; minimize cost by removing cheaper ones.",,different and interesting pattern
MostCommonWord,Medium,Find most common word excluding banned words.,"Hash Map, String Cleaning",Normalize text; count word frequency excluding banned words; return most frequent.,,
NumberOfMatchingSubsequences,Very Hard,GIven a string and list of strings array. Count number of matching subsequences from array,"Trie, Hash Map of Pointers",Map chars → index processed words; Iterate through the string and check how many string are waiting for this character to proceed further in matching,,Difficult to understand the code
